date,temp_BEL,vappr_BEL,rhum_BEL,msl_BEL,wdsp_BEL,wddir_BEL,temp_DUB,vappr_DUB,rhum_DUB,msl_DUB,wdsp_DUB,wddir_DUB,temp,vappr,rhum,msl,wdsp,wddir,temp_COR,vappr_COR,rhum_COR,msl_COR,wdsp_COR,wddir_COR,temp_MAL,vappr_MAL,rhum_MAL,msl_MAL,wdsp_MAL,wddir_MAL,mm,d,w,wd,Wind Onshore  - Actual Aggregated [MW]
2015-01-01,249.7,273.0,2131,24207.2,574,5100,272.3,267.0,1967,24319.4,507,5130.0,269.0,282.4,2093,24351.4,363,4460,249.5,293.7,2250.0,23395.4,428.0,4970.0,231.5,261.1,2160,24160.5,563,5340.0,24,24,24,72,70132.0
2015-01-02,76.5,139.3,1807,24259.1,180,5680,11.6,127.0,2020,24203.0,273,6990.0,56.8,134.4,1869,24269.2,107,5780,47.1,128.7,1844.0,24269.3,171.0,6350.0,92.6,137.1,1694,24200.6,416,6700.0,24,48,24,96,25583.0
2015-01-03,130.5,145.6,1616,23831.6,437,6100,79.0,153.7,1993,23880.5,429,5850.0,112.3,165.9,1957,23945.4,336,5650,91.7,169.6,2112.0,23997.6,308.0,5880.0,116.0,166.0,1909,23718.7,628,6390.0,24,72,24,120,59759.0
2015-01-04,194.6,216.8,1960,24513.9,342,6060,150.7,195.9,2015,24516.3,429,5880.0,198.6,229.8,2070,24599.3,335,5930,176.9,223.6,2135.0,24636.9,235.0,5750.0,136.3,187.2,2033,24442.0,460,7200.0,24,96,24,144,57168.0
2015-01-05,206.4,164.2,1478,24235.6,240,1870,168.9,170.1,1732,24272.6,272,1890.0,190.6,186.9,1753,24201.5,273,1910,169.3,225.7,2244.0,24169.0,350.0,2190.0,179.6,176.8,1699,24305.8,298,2250.0,24,120,48,0,40150.0
2015-01-06,215.1,215.9,1871,23857.3,540,5360,201.5,206.0,1860,24007.7,430,5200.0,219.8,228.5,1961,24003.7,341,4960,201.8,257.2,2309.0,24064.1,321.0,5200.0,184.9,208.5,1970,23824.5,629,5050.0,24,144,48,24,64012.0
2015-01-07,345.2,351.3,2140,24225.9,133,4480,458.1,392.6,1788,24216.0,134,3560.0,389.2,383.0,2092,24227.4,83,4640,370.0,393.5,2254.0,24237.2,134.0,5700.0,350.2,358.2,2143,24224.1,122,4930.0,24,168,48,48,4105.0
2015-01-08,324.4,276.8,1781,24247.0,330,5380,333.2,252.2,1642,24304.4,252,5720.0,329.0,291.3,1887,24313.5,200,4770,317.0,302.0,2021.0,24334.0,158.0,5170.0,294.1,270.8,1896,24224.1,385,5470.0,24,192,48,72,20027.0
2015-01-09,301.9,269.2,1842,24600.1,215,8290,270.5,265.9,2014,24520.9,230,7270.0,288.8,270.7,1943,24584.3,165,6950,281.3,269.6,1987.0,24573.5,227.0,7870.0,297.9,276.2,1909,24531.0,397,8050.0,24,216,48,96,21020.0
2015-01-10,274.9,270.2,2001,24791.8,86,3760,246.1,269.8,2162,24802.8,119,2740.0,233.0,270.3,2237,24789.0,70,4300,272.5,289.8,2167.0,24774.5,163.0,2210.0,271.6,274.9,2036,24800.4,105,4100.0,24,240,48,120,7287.0
